Date,Hour Ending,Total Load
01/19/2023,13,14537.78
01/19/2023,14,14766.35
01/19/2023,15,14872.84
01/19/2023,16,15135.47
01/19/2023,17,15741.72
01/19/2023,18,16288.56
01/19/2023,19,16086.67
01/19/2023,20,15579.08
01/19/2023,21,14959.28
01/19/2023,22,14117.32
01/19/2023,23,13116.48
01/19/2023,24,12509.57
01/20/2023,1,12213.79
01/20/2023,2,11928.51
01/20/2023,3,11710.3
01/20/2023,4,11665.73
01/20/2023,5,11975.93
01/20/2023,6,12278.82
01/20/2023,7,13433.09
01/20/2023,8,14438.22
01/20/2023,9,14894.62
01/20/2023,10,15120.22
01/20/2023,11,15360.38
01/20/2023,12,15425.59
01/20/2023,13,15290.1
01/20/2023,14,15149.7
01/20/2023,15,15039.85
01/20/2023,16,15101.98
01/20/2023,17,15623.71
01/20/2023,18,16250.52
01/20/2023,19,15946.69
01/20/2023,20,15429.12
01/20/2023,21,14822.48
01/20/2023,22,14119.02
01/20/2023,23,13257.86
01/20/2023,24,12436.41
01/21/2023,1,12136.35
01/21/2023,2,11760.12
01/21/2023,3,11532.77
01/21/2023,4,11478.95
01/21/2023,5,11600.59
01/21/2023,6,11975.32
01/21/2023,7,12628.8
01/21/2023,8,13049.04
01/21/2023,9,13739.58
01/21/2023,10,14066.27
01/21/2023,11,14155.52
01/21/2023,12,14262.44
01/21/2023,13,14323.2
01/21/2023,14,14277.66
01/21/2023,15,14324.72
01/21/2023,16,14568.2
01/21/2023,17,15111.11
01/21/2023,18,15796.81
01/21/2023,19,15589.14
01/21/2023,20,15137.2
01/21/2023,21,14676.15
01/21/2023,22,14061.92
01/21/2023,23,13325.54
01/21/2023,24,12596.89
01/22/2023,1,12035.16
01/22/2023,2,11643.75
01/22/2023,3,11637.13
01/22/2023,4,11617.6
01/22/2023,5,11660.13
01/22/2023,6,11673.37
01/22/2023,7,12173.28
01/22/2023,8,12784.73
01/22/2023,9,13473.17
01/22/2023,10,14066.53
01/22/2023,11,14342.54
01/22/2023,12,14350.38
01/22/2023,13,14304.14
01/22/2023,14,14325.5
01/22/2023,15,14483.45
01/22/2023,16,14776.41
01/22/2023,17,15413.05
01/22/2023,18,16047.56
01/22/2023,19,15859.74
01/22/2023,20,15320.06
01/22/2023,21,14768.45
01/22/2023,22,13928.78
01/22/2023,23,12979.87
01/22/2023,24,12231.22
01/23/2023,1,12392.61
01/23/2023,2,12118.82
01/23/2023,3,12199.59
01/23/2023,4,12241.78
01/23/2023,5,12532.46
01/23/2023,6,12824.8
01/23/2023,7,13783.82
01/23/2023,8,14588.56
01/23/2023,9,15044.19
01/23/2023,10,15308.46
01/23/2023,11,15580.26
01/23/2023,12,15748.06
01/23/2023,13,15842.37
01/23/2023,14,15920.7
01/23/2023,15,15886.62
01/23/2023,16,15853.38
01/23/2023,17,16284.28
01/23/2023,18,16926.94
01/23/2023,19,16756.52
01/23/2023,20,16238.87
01/23/2023,21,15485.38
01/23/2023,22,14562.81
01/23/2023,23,13644.07
01/23/2023,24,12902.31
01/24/2023,1,12473.34
01/24/2023,2,12280.58
01/24/2023,3,12210.0
01/24/2023,4,12347.33
01/24/2023,5,12504.59
01/24/2023,6,13120.18
01/24/2023,7,14515.51
01/24/2023,8,15170.33
01/24/2023,9,15477.59
01/24/2023,10,15300.61
01/24/2023,11,15110.9
01/24/2023,12,14800.54
01/24/2023,13,14861.07
01/24/2023,14,14995.56
01/24/2023,15,15119.02
01/24/2023,16,14986.07
01/24/2023,17,15677.64
01/24/2023,18,16652.95
01/24/2023,19,16584.44
01/24/2023,20,16109.7
01/24/2023,21,15449.54
01/24/2023,22,14575.43
01/24/2023,23,13481.82
01/24/2023,24,12738.35
01/25/2023,1,12831.61
