Date,Time,Fuel Category,Gen Mw
01/01/2023,02:29:02,Oil,0.0
01/01/2023,02:29:02,Other,4.0
01/01/2023,02:29:02,Refuse,339.0
01/01/2023,02:29:02,Solar,1.0
01/01/2023,02:29:02,Wind,277.0
01/01/2023,02:29:02,Wood,234.0
01/01/2023,02:37:33,Coal,0.0
01/01/2023,02:37:33,Hydro,970.0
01/01/2023,02:37:33,Landfill Gas,36.0
01/01/2023,02:37:33,Natural Gas,2957.0
01/01/2023,02:37:33,Nuclear,3372.0
01/01/2023,02:37:33,Oil,0.0
01/01/2023,02:37:33,Other,0.0
01/01/2023,02:37:33,Refuse,340.0
01/01/2023,02:37:33,Solar,1.0
01/01/2023,02:37:33,Wind,299.0
01/01/2023,02:37:33,Wood,233.0
01/01/2023,02:50:36,Coal,0.0
01/01/2023,02:50:36,Hydro,960.0
01/01/2023,02:50:36,Landfill Gas,36.0
01/01/2023,02:50:36,Natural Gas,2771.0
01/01/2023,02:50:36,Nuclear,3372.0
01/01/2023,02:50:36,Oil,0.0
01/01/2023,02:50:36,Other,0.0
01/01/2023,02:50:36,Refuse,336.0
01/01/2023,02:50:36,Solar,1.0
01/01/2023,02:50:36,Wind,318.0
01/01/2023,02:50:36,Wood,232.0
01/01/2023,02:54:52,Coal,0.0
01/01/2023,02:54:52,Hydro,950.0
01/01/2023,02:54:52,Landfill Gas,36.0
01/01/2023,02:54:52,Natural Gas,2770.0
01/01/2023,02:54:52,Nuclear,3372.0
01/01/2023,02:54:52,Oil,0.0
01/01/2023,02:54:52,Other,0.0
01/01/2023,02:54:52,Refuse,333.0
01/01/2023,02:54:52,Solar,1.0
01/01/2023,02:54:52,Wind,315.0
01/01/2023,02:54:52,Wood,234.0
01/01/2023,03:04:23,Coal,0.0
01/01/2023,03:04:23,Hydro,950.0
01/01/2023,03:04:23,Landfill Gas,36.0
01/01/2023,03:04:23,Natural Gas,2730.0
01/01/2023,03:04:23,Nuclear,3371.0
01/01/2023,03:04:23,Oil,0.0
01/01/2023,03:04:23,Other,0.0
01/01/2023,03:04:23,Refuse,334.0
01/01/2023,03:04:23,Solar,1.0
01/01/2023,03:04:23,Wind,318.0
01/01/2023,03:04:23,Wood,233.0
01/01/2023,03:14:09,Coal,0.0
01/01/2023,03:14:09,Hydro,950.0
01/01/2023,03:14:09,Landfill Gas,36.0
01/01/2023,03:14:09,Natural Gas,2698.0
01/01/2023,03:14:09,Nuclear,3373.0
01/01/2023,03:14:09,Oil,0.0
01/01/2023,03:14:09,Other,0.0
01/01/2023,03:14:09,Refuse,340.0
01/01/2023,03:14:09,Solar,1.0
01/01/2023,03:14:09,Wind,329.0
01/01/2023,03:14:09,Wood,233.0
01/01/2023,03:19:09,Coal,0.0
01/01/2023,03:19:09,Hydro,943.0
01/01/2023,03:19:09,Landfill Gas,36.0
01/01/2023,03:19:09,Natural Gas,2496.0
01/01/2023,03:19:09,Nuclear,3372.0
01/01/2023,03:19:09,Oil,0.0
01/01/2023,03:19:09,Other,15.0
01/01/2023,03:19:09,Refuse,338.0
01/01/2023,03:19:09,Solar,1.0
01/01/2023,03:19:09,Wind,337.0
01/01/2023,03:19:09,Wood,234.0
01/01/2023,03:24:54,Coal,0.0
01/01/2023,03:24:54,Hydro,943.0
01/01/2023,03:24:54,Landfill Gas,36.0
01/01/2023,03:24:54,Natural Gas,2439.0
01/01/2023,03:24:54,Nuclear,3372.0
01/01/2023,03:24:54,Oil,0.0
01/01/2023,03:24:54,Other,0.0
01/01/2023,03:24:54,Refuse,332.0
01/01/2023,03:24:54,Solar,1.0
01/01/2023,03:24:54,Wind,337.0
01/01/2023,03:24:54,Wood,233.0
01/01/2023,03:36:51,Coal,0.0
01/01/2023,03:36:51,Hydro,954.0
01/01/2023,03:36:51,Landfill Gas,36.0
01/01/2023,03:36:51,Natural Gas,2451.0
01/01/2023,03:36:51,Nuclear,3372.0
01/01/2023,03:36:51,Oil,0.0
01/01/2023,03:36:51,Other,0.0
01/01/2023,03:36:51,Refuse,332.0
01/01/2023,03:36:51,Solar,1.0
01/01/2023,03:36:51,Wind,356.0
01/01/2023,03:36:51,Wood,232.0
01/01/2023,03:39:38,Coal,0.0
01/01/2023,03:39:38,Hydro,955.0
01/01/2023,03:39:38,Landfill Gas,36.0
01/01/2023,03:39:38,Natural Gas,2452.0
01/01/2023,03:39:38,Nuclear,3373.0
01/01/2023,03:39:38,Oil,0.0
01/01/2023,03:39:38,Other,0.0
01/01/2023,03:39:38,Refuse,330.0
01/01/2023,03:39:38,Solar,1.0
01/01/2023,03:39:38,Wind,355.0
01/01/2023,03:39:38,Wood,233.0
01/01/2023,03:51:37,Coal,0.0
01/01/2023,03:51:37,Hydro,950.0
01/01/2023,03:51:37,Landfill Gas,36.0
01/01/2023,03:51:37,Natural Gas,2529.0
01/01/2023,03:51:37,Nuclear,3372.0
01/01/2023,03:51:37,Oil,0.0
01/01/2023,03:51:37,Other,2.0
01/01/2023,03:51:37,Refuse,329.0
01/01/2023,03:51:37,Solar,1.0
01/01/2023,03:51:37,Wind,363.0
01/01/2023,03:51:37,Wood,233.0
01/01/2023,03:58:41,Coal,0.0
01/01/2023,03:58:41,Hydro,949.0
01/01/2023,03:58:41,Landfill Gas,36.0
01/01/2023,03:58:41,Natural Gas,2476.0
01/01/2023,03:58:41,Nuclear,3372.0
01/01/2023,03:58:41,Oil,0.0
01/01/2023,03:58:41,Other,6.0
01/01/2023,03:58:41,Refuse,330.0
01/01/2023,03:58:41,Solar,1.0
01/01/2023,03:58:41,Wind,369.0
01/01/2023,03:58:41,Wood,231.0
01/01/2023,04:03:59,Coal,0.0
01/01/2023,04:03:59,Hydro,949.0
01/01/2023,04:03:59,Landfill Gas,36.0
01/01/2023,04:03:59,Natural Gas,2477.0
01/01/2023,04:03:59,Nuclear,3372.0
01/01/2023,04:03:59,Oil,0.0
01/01/2023,04:03:59,Other,0.0
01/01/2023,04:03:59,Refuse,330.0
01/01/2023,04:03:59,Solar,1.0
01/01/2023,04:03:59,Wind,377.0
01/01/2023,04:03:59,Wood,232.0
01/01/2023,04:09:42,Coal,0.0
01/01/2023,04:09:42,Hydro,950.0
01/01/2023,04:09:42,Landfill Gas,36.0
01/01/2023,04:09:42,Natural Gas,2479.0
01/01/2023,04:09:42,Nuclear,3372.0
01/01/2023,04:09:42,Oil,0.0
01/01/2023,04:09:42,Other,0.0
01/01/2023,04:09:42,Refuse,336.0
01/01/2023,04:09:42,Solar,1.0
01/01/2023,04:09:42,Wind,373.0
01/01/2023,04:09:42,Wood,233.0
01/01/2023,04:17:11,Coal,0.0
01/01/2023,04:17:11,Hydro,949.0
01/01/2023,04:17:11,Landfill Gas,36.0
01/01/2023,04:17:11,Natural Gas,2505.0
01/01/2023,04:17:11,Nuclear,3372.0
01/01/2023,04:17:11,Oil,0.0
01/01/2023,04:17:11,Other,0.0
01/01/2023,04:17:11,Refuse,340.0
01/01/2023,04:17:11,Solar,1.0
01/01/2023,04:17:11,Wind,373.0
01/01/2023,04:17:11,Wood,232.0
01/01/2023,04:23:20,Coal,0.0
01/01/2023,04:23:20,Hydro,950.0
01/01/2023,04:23:20,Landfill Gas,36.0
01/01/2023,04:23:20,Natural Gas,2501.0
01/01/2023,04:23:20,Nuclear,3370.0
01/01/2023,04:23:20,Oil,0.0
01/01/2023,04:23:20,Other,0.0
01/01/2023,04:23:20,Refuse,340.0
01/01/2023,04:23:20,Solar,1.0
01/01/2023,04:23:20,Wind,386.0
01/01/2023,04:23:20,Wood,231.0
01/01/2023,04:32:04,Coal,0.0
01/01/2023,04:32:04,Hydro,940.0
01/01/2023,04:32:04,Landfill Gas,36.0
01/01/2023,04:32:04,Natural Gas,2549.0
01/01/2023,04:32:04,Nuclear,3369.0
01/01/2023,04:32:04,Oil,0.0
01/01/2023,04:32:04,Other,0.0
01/01/2023,04:32:04,Refuse,335.0
01/01/2023,04:32:04,Solar,1.0
01/01/2023,04:32:04,Wind,404.0
01/01/2023,04:32:04,Wood,230.0
01/01/2023,04:39:52,Coal,0.0
01/01/2023,04:39:52,Hydro,930.0
01/01/2023,04:39:52,Landfill Gas,36.0
01/01/2023,04:39:52,Natural Gas,2583.0
01/01/2023,04:39:52,Nuclear,3371.0
01/01/2023,04:39:52,Oil,0.0
01/01/2023,04:39:52,Other,0.0
01/01/2023,04:39:52,Refuse,339.0
01/01/2023,04:39:52,Solar,1.0
01/01/2023,04:39:52,Wind,427.0
01/01/2023,04:39:52,Wood,232.0
01/01/2023,04:48:19,Coal,0.0
01/01/2023,04:48:19,Hydro,923.0
01/01/2023,04:48:19,Landfill Gas,36.0
01/01/2023,04:48:19,Natural Gas,2586.0
01/01/2023,04:48:19,Nuclear,3371.0
01/01/2023,04:48:19,Oil,0.0
01/01/2023,04:48:19,Other,4.0
01/01/2023,04:48:19,Refuse,335.0
01/01/2023,04:48:19,Solar,1.0
01/01/2023,04:48:19,Wind,419.0
01/01/2023,04:48:19,Wood,234.0
01/01/2023,04:55:57,Coal,0.0
01/01/2023,04:55:57,Hydro,958.0
01/01/2023,04:55:57,Landfill Gas,36.0
01/01/2023,04:55:57,Natural Gas,2544.0
01/01/2023,04:55:57,Nuclear,3373.0
01/01/2023,04:55:57,Oil,0.0
01/01/2023,04:55:57,Other,0.0
01/01/2023,04:55:57,Refuse,324.0
01/01/2023,04:55:57,Solar,1.0
01/01/2023,04:55:57,Wind,433.0
01/01/2023,04:55:57,Wood,233.0
01/01/2023,05:07:36,Coal,0.0
01/01/2023,05:07:36,Hydro,1066.0
01/01/2023,05:07:36,Landfill Gas,36.0
01/01/2023,05:07:36,Natural Gas,2471.0
01/01/2023,05:07:36,Nuclear,3372.0
01/01/2023,05:07:36,Oil,0.0
01/01/2023,05:07:36,Other,0.0
01/01/2023,05:07:36,Refuse,337.0
01/01/2023,05:07:36,Solar,1.0
01/01/2023,05:07:36,Wind,460.0
01/01/2023,05:07:36,Wood,230.0
01/01/2023,05:16:01,Coal,0.0
01/01/2023,05:16:01,Hydro,1067.0
01/01/2023,05:16:01,Landfill Gas,35.0
01/01/2023,05:16:01,Natural Gas,2421.0
01/01/2023,05:16:01,Nuclear,3372.0
01/01/2023,05:16:01,Oil,0.0
01/01/2023,05:16:01,Other,8.0
01/01/2023,05:16:01,Refuse,333.0
01/01/2023,05:16:01,Solar,1.0
01/01/2023,05:16:01,Wind,476.0
01/01/2023,05:16:01,Wood,231.0
01/01/2023,05:24:36,Coal,0.0
01/01/2023,05:24:36,Hydro,1071.0
01/01/2023,05:24:36,Landfill Gas,35.0
01/01/2023,05:24:36,Natural Gas,2376.0
01/01/2023,05:24:36,Nuclear,3371.0
01/01/2023,05:24:36,Oil,0.0
01/01/2023,05:24:36,Other,5.0
01/01/2023,05:24:36,Refuse,326.0
01/01/2023,05:24:36,Solar,1.0
01/01/2023,05:24:36,Wind,519.0
01/01/2023,05:24:36,Wood,233.0
01/01/2023,05:32:16,Coal,0.0
01/01/2023,05:32:16,Hydro,1080.0
01/01/2023,05:32:16,Landfill Gas,36.0
