ID,Name,Type,Fuel Type,Generating Fuel Type,State,Summer Qual,Winter Qual,FCA Qual,June,July,August,September,October,November,December,January,February,March,April,May
41007,Syncarpha Westminster - Battery,Generator,Solar,Solar,MA,3.0,3.0,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334
41009,Syncarpha Halifax - Battery,Generator,Solar,Solar,MA,1.67,1.67,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742
41012,Borr - Brookwood Dr PV,Generator,Solar,Solar,MA,1.99,0.0,0.885,0.885,0.885,0.885,0.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41013,Borr - Brookwood Dr Storage,Generator,ES,Electricity used for Energy Storage,MA,3.0,3.0,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334,1.334
41015,Borr - Pleasant St Storage,Generator,ES,Electricity used for Energy Storage,MA,4.433,4.433,1.971,1.971,1.971,1.971,1.971,1.971,1.971,1.971,1.971,1.971,1.971,1.971,1.971
41020,Bemis Road Solar,Generator,Solar,Solar,MA,2.5,1.33,1.112,1.112,1.112,1.112,1.112,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592
41021,Oakhurst Road PV,Generator,Solar,Solar,MA,0.76,0.44,0.338,0.338,0.338,0.338,0.338,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196
41025,Douglas PV,Generator,Solar,Solar,MA,2.97,0.89,1.32,1.32,1.32,1.32,1.32,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396
41029,Ludlow PV,Generator,Solar,Solar,MA,2.28,1.33,1.014,1.014,1.014,1.014,1.014,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592
41030,Rehoboth PV,Generator,Solar,Solar,MA,2.46,1.78,1.094,1.094,1.094,1.094,1.094,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
41031,RI_93_RE Growth PV_371 PUTNAM PI_SMITHFIELD,Generator,Solar,Solar,RI,0.215,0.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41032,MA_139_0.2997 PV_1-3 WALKER DR_UPTON,Generator,Solar,Solar,MA,0.142,0.0,0.063,0.063,0.063,0.063,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
