ID,Generating Fuel Type,Fuel Type
951,Water at a Conventional Hydroelectric Turbine,Hydro
957,Water at a Conventional Hydroelectric Turbine,Hydro
969,Water at a Conventional Hydroelectric Turbine,Hydro
970,Water at a Conventional Hydroelectric Turbine,Hydro
978,"Other Biomass Gas. Includes digester gas, methane, and other biomass gasses.",Other
1005,Natural Gas,Gas
1030,Kerosene,Gas
1031,Kerosene,Gas
1032,Natural Gas,Gas
1034,Water at a Conventional Hydroelectric Turbine,Hydro
1035,Water at a Conventional Hydroelectric Turbine,Hydro
1047,Water at a Conventional Hydroelectric Turbine,Hydro
1048,Water at a Conventional Hydroelectric Turbine,Hydro
1049,Water at a Conventional Hydroelectric Turbine,Hydro
1050,Water at a Conventional Hydroelectric Turbine,Hydro
1054,Water at a Conventional Hydroelectric Turbine,Hydro
1057,Water at a Conventional Hydroelectric Turbine,Hydro
1061,Water at a Conventional Hydroelectric Turbine,Hydro
1062,Water at a Conventional Hydroelectric Turbine,Hydro
1086,Natural Gas,Gas
1109,Municipal Solid Waste,Waste
1113,Water at a Conventional Hydroelectric Turbine,Hydro
1114,Water at a Conventional Hydroelectric Turbine,Hydro
1117,Water at a Conventional Hydroelectric Turbine,Hydro
1119,Water at a Conventional Hydroelectric Turbine,Hydro
1122,Water at a Conventional Hydroelectric Turbine,Hydro
1185,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
1186,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
1187,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
1209,Landfill Gas,Gas
1210,Natural Gas,Gas
1216,Natural Gas,Gas
1221,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
1226,Natural Gas,Gas
1255,Natural Gas,Gas
1258,Water at a Conventional Hydroelectric Turbine,Hydro
1270,Water at a Conventional Hydroelectric Turbine,Hydro
1273,Water at a Conventional Hydroelectric Turbine,Hydro
1286,Natural Gas,Gas
1287,Natural Gas,Gas
